id,name,batch,batch_code,batch_order,one_liner,industry,subindustry,tags,yc_profile_url,batch_size,is_partial_batch,category,confidence,reason,chunk,category_first_pass,review_note,reviewed,full_stack_ai,caption
12119,Alpaca,Winter 2019,W19,20190,API-first stock and crypto brokerage platform,Fintech,Fintech -> Banking and Exchange,Developer Tools|Fintech|API|Investing|Infrastructure,https://www.ycombinator.com/companies/alpaca,194,False,not_ai,high,API brokerage infrastructure for other companies; no AI,chunk_00,not_ai,,False,False,not AI
12136,AmpUp,Winter 2019,W19,20190,We make EV charging as simple and reliable as LED lights,Consumer,Consumer -> Home and Personal,Climate|Electric Vehicles,https://www.ycombinator.com/companies/ampup,194,False,not_ai,high,EV charging hardware/service; no AI,chunk_00,not_ai,,False,False,not AI
11967,Ascen,Winter 2019,W19,20190,EOR for the staffing industry,B2B,B2B -> Recruiting and Talent,B2B|Recruiting|Compliance|HR Tech,https://www.ycombinator.com/companies/ascen,194,False,full_stack_non_ai,medium,Operates as employer of record for staffing firms; no AI stated,chunk_00,full_stack_non_ai,,False,False,"full-stack startup, not AI-run"
12035,Ashby,Winter 2019,W19,20190,All-in-one recruiting platform that empowers hiring excellence in…,B2B,B2B -> Recruiting and Talent,Human Resources|B2B|Recruiting,https://www.ycombinator.com/companies/ashby,194,False,not_ai,medium,Recruiting SaaS sold to talent teams; no AI functionality described,chunk_00,not_ai,,False,False,not AI
12034,Askdata,Winter 2019,W19,20190,Frictionless Data,B2B,B2B -> Analytics,Artificial Intelligence,https://www.ycombinator.com/companies/askdata,194,False,sells_ai_to_industry,medium,Natural-language data querying tool sold to users/companies,chunk_00,sells_ai_to_industry,,False,False,sells AI to the industry
12300,Atlas,Winter 2019,W19,20190,Modern spend management & concierge.,Fintech,Fintech -> Consumer Finance,Fintech,https://www.ycombinator.com/companies/atlas-3,194,False,unclear,low,"Empty description, one-liner too thin",chunk_00,unclear,,False,False,unclear
12012,Atomic Alchemy,Winter 2019,W19,20190,We produce cancer-curing materials used in nuclear medicine.,Industrials,Industrials -> Manufacturing and Robotics,Hard Tech|Small Modular Reactors|Medical Devices,https://www.ycombinator.com/companies/atomic-alchemy,194,False,not_ai,high,Builds nuclear reactors to produce medical isotopes; no AI,chunk_00,not_ai,,False,False,not AI
12080,Aura Vision,Winter 2019,W19,20190,In-store analytics AI assistant to fix your retail stores,B2B,B2B -> Retail,SaaS|IoT|Computer Vision,https://www.ycombinator.com/companies/aura-vision,194,False,sells_ai_to_industry,high,"""Plug & play AI"" analytics sold to retailers using their cameras",chunk_00,sells_ai_to_industry,,False,False,sells AI to the industry
12047,AuroraQ,Winter 2019,W19,20190,"Building the first practical, integrated quantum computer.",Industrials,Industrials -> Manufacturing and Robotics,Quantum Computing,https://www.ycombinator.com/companies/auroraq,194,False,not_ai,high,Quantum computer hardware maker; no AI,chunk_00,not_ai,,False,False,not AI
12062,Autodial prev Qwest,Winter 2019,W19,20190,Skip Busy Phone Lines,Consumer,Consumer,Artificial Intelligence|Machine Learning|Telecommunications|AI,https://www.ycombinator.com/companies/autodial-prev-qwest,194,False,ai_other,medium,"Company itself calls on behalf of customers, using ML to handle the call process",chunk_00,full_stack_ai,consumer call-skipping utility; no industry replaced,True,False,other AI
11978,Avalanche,Winter 2019,W19,20190,Referral program SDK for startups,B2B,B2B -> Marketing,Marketing,https://www.ycombinator.com/companies/avalanche,194,False,not_ai,medium,Referral SDK for startups; no AI,chunk_00,not_ai,,False,False,not AI
12003,Avo,Winter 2019,W19,20190,Fixing data quality in product analytics.,B2B,B2B -> Analytics,Developer Tools|B2B,https://www.ycombinator.com/companies/avo,194,False,not_ai,medium,Product analytics data-quality tooling; no AI,chunk_00,not_ai,,False,False,not AI
12065,Axel Travel,Winter 2019,W19,20190,AI agent that saves you money on travel,Consumer,"Consumer -> Travel, Leisure and Tourism",Travel,https://www.ycombinator.com/companies/axel-travel,194,False,ai_other,medium,"""AI agent that saves you money on travel"" negotiates deals directly for customers",chunk_00,full_stack_ai,consumer deal-finding app,True,False,other AI
12372,Balto,Winter 2019,W19,20190,Acquired by FuboTV (NYSE: FUBO) - Contest automation software…,Consumer,Consumer -> Gaming,Sports Tech|Gaming,https://www.ycombinator.com/companies/balto,194,False,not_ai,medium,Contest automation software; no AI,chunk_00,not_ai,,False,False,not AI
12284,Basement,Winter 2019,W19,20190,The social network for your close friends.,Consumer,Consumer -> Social,Social|Social Network,https://www.ycombinator.com/companies/basement,194,False,not_ai,low,"Social network for close friends; no AI, thin description",chunk_00,not_ai,,False,False,not AI
11992,Basilica,Winter 2019,W19,20190,Basilica is an API that embeds high-dimensional data like images and…,B2B,"B2B -> Engineering, Product and Design",Machine Learning|API,https://www.ycombinator.com/companies/basilica,194,False,ai_infra,medium,API that embeds high-dimensional data for other builders,chunk_00,ai_infra,,False,False,AI infrastructure
12020,Bensen,Winter 2019,W19,20190,Online and phone ordering for restaurant takeout and delivery,B2B,"B2B -> Engineering, Product and Design",Marketplace|Delivery|Food & Beverage,https://www.ycombinator.com/companies/bensen,194,False,not_ai,low,Ordering software sold to restaurants; no AI stated,chunk_00,not_ai,,False,False,not AI
12250,Bentocart,Winter 2019,W19,20190,Last-mile delivery for perishables.,Consumer,Consumer -> Food and Beverage,Marketplace|Logistics|Food Tech,https://www.ycombinator.com/companies/bentocart,194,False,not_ai,low,"Marketplace-tagged last-mile delivery; not stated as operator, no AI",chunk_00,not_ai,,False,False,not AI
12045,BlitzIQ,Winter 2019,W19,20190,Note taking workspace for B2B sales teams,B2B,B2B -> Sales,Productivity|Collaboration|Sales Enablement,https://www.ycombinator.com/companies/blitziq,194,False,not_ai,low,Sales-team note-taking SaaS; no AI,chunk_00,not_ai,,False,False,not AI
11944,Bottomless,Winter 2019,W19,20190,Building the first sensor enabled marketplace for repeat purchases,Consumer,Consumer -> Food and Beverage,Marketplace|IoT,https://www.ycombinator.com/companies/bottomless,194,False,not_ai,medium,Sensor-enabled marketplace for repeat purchases; no AI,chunk_00,not_ai,,False,False,not AI
11976,BrainKey,Winter 2019,W19,20190,Brain Longevity,Healthcare,Healthcare -> Diagnostics,Neurotechnology|Health Tech|Digital Health|AI,https://www.ycombinator.com/companies/brainkey,194,False,ai_other,low,"""AI-driven digital healthcare"" consumer brain-longevity product, thin description",chunk_00,ai_other,,False,False,other AI
11930,Brick Health,Winter 2019,W19,20190,Building infrastructure to expand scope and quality of virtual care,Healthcare,Healthcare -> Healthcare IT,Consumer Health Services|Telemedicine,https://www.ycombinator.com/companies/brick-health,194,False,full_stack_non_ai,high,"Provides in-person medical infrastructure itself (diagnostics, nursing, phlebotomy); no AI",chunk_00,full_stack_non_ai,,False,False,"full-stack startup, not AI-run"
12042,Bunkerhill Health,Winter 2019,W19,20190,Bunkerhill is the agentic AI platform for health systems,Healthcare,Healthcare -> Healthcare IT,Health Tech|AI,https://www.ycombinator.com/companies/bunkerhill-health,194,False,sells_ai_to_industry,high,"""Agentic AI platform for health systems"", sold to health systems",chunk_00,sells_ai_to_industry,,False,False,sells AI to the industry
12371,Buy Me a Coffee,Winter 2019,W19,20190,Helping creators monetize,Consumer,Consumer -> Content,Fintech|Marketplace,https://www.ycombinator.com/companies/buy-me-a-coffee,194,False,not_ai,medium,Creator monetization/payments platform; no AI,chunk_00,not_ai,,False,False,not AI
11927,Canopy (was Encarte),Winter 2019,W19,20190,Encarte is building 1-click checkout for all online stores.,Fintech,Fintech -> Payments,Payments|E-Commerce,https://www.ycombinator.com/companies/encarte,194,False,not_ai,low,"1-click checkout for online stores; no AI, empty description",chunk_00,not_ai,,False,False,not AI
12175,Capture,Winter 2019,W19,20190,"All your notes, tasks, and files in one super-fast workspace.",B2B,B2B -> Productivity,Productivity,https://www.ycombinator.com/companies/capture,194,False,not_ai,medium,Notes/tasks workspace productivity tool; no AI,chunk_00,not_ai,,False,False,not AI
12072,CareerTu,Winter 2019,W19,20190,Online school for Chinese to learn in-demand digital skills ,Education,Education,Education|Careers,https://www.ycombinator.com/companies/careertu,194,False,full_stack_non_ai,medium,Runs its own online school delivering the training itself; no AI,chunk_00,full_stack_non_ai,,False,False,"full-stack startup, not AI-run"
12074,Caribou,Winter 2019,W19,20190,The autonomous tax firm,B2B,B2B -> Finance and Accounting,Fintech|SaaS|B2B|LegalTech,https://www.ycombinator.com/companies/caribou,194,False,full_stack_ai,high,"""The autonomous tax firm"" that drafts agreements and implements fixes itself",chunk_00,full_stack_ai,,True,True,full-stack AI startup
12366,Catch,Winter 2019,W19,20190,Benefits for independent workers.,Fintech,Fintech -> Consumer Finance,Fintech|Consumer|Health Insurance,https://www.ycombinator.com/companies/catch,194,False,full_stack_non_ai,medium,Operates the benefits/insurance concierge service itself; no AI,chunk_00,full_stack_non_ai,,False,False,"full-stack startup, not AI-run"
11948,Centaur,Winter 2019,W19,20190,We Create Superior Data By Making Annotation Competitive,Healthcare,Healthcare -> Healthcare IT,Artificial Intelligence|Data Science|Crowdsourcing|Data Labeling,https://www.ycombinator.com/companies/centaur,194,False,ai_infra,high,Data annotation/labeling platform for training AI models,chunk_00,ai_infra,,False,False,AI infrastructure
11964,Chaser,Winter 2019,W19,20190,No code app builder. ,B2B,B2B,SaaS|Finance|E-commerce,https://www.ycombinator.com/companies/chaser,194,False,not_ai,medium,No-code app builder; no AI,chunk_00,not_ai,,False,False,not AI
12068,Cherry,Winter 2019,W19,20190,Cherry lets employees choose their own workplace perks.,B2B,B2B -> Human Resources,Fintech|Marketplace|SaaS,https://www.ycombinator.com/companies/cherry,194,False,not_ai,medium,Workplace perks marketplace; no AI,chunk_00,not_ai,,False,False,not AI
12257,Cityfurnish,Winter 2019,W19,20190,Cityfurnish - Commitment-free furniture rentals for a better you!,Consumer,Consumer -> Home and Personal,Fintech|Housing,https://www.ycombinator.com/companies/cityfurnish,194,False,full_stack_non_ai,low,Runs its own furniture rental subscription service; no AI,chunk_00,full_stack_non_ai,,False,False,"full-stack startup, not AI-run"
12078,Cocoon,Winter 2019,W19,20190,Bring your most important groups closer together,Consumer,Consumer -> Social,Team Collaboration|Collaboration,https://www.ycombinator.com/companies/cocoon,194,False,not_ai,medium,Private group social app; no AI,chunk_00,not_ai,,False,False,not AI
11991,Community Phone Company,Winter 2019,W19,20190,The phone that gives families peace of mind about aging parents,Consumer,Consumer -> Home and Personal,Artificial Intelligence|SaaS|B2B|Customer Support|Telecommunications,https://www.ycombinator.com/companies/community-phone-company,194,False,ai_other,medium,"Delivers phone service directly to families; ""AI-powered check-in calls"" do the core monitoring",chunk_00,full_stack_ai,phone service; AI check-in calls are a feature not the core work,True,False,other AI
11954,Comradery,Winter 2019,W19,20190,White-label Bookface for companies and communities!,B2B,B2B -> Productivity,SaaS|B2B|Community,https://www.ycombinator.com/companies/comradery,194,False,not_ai,medium,White-label community platform sold to companies; no AI,chunk_00,not_ai,,False,False,not AI
11972,Convex,Winter 2019,W19,20190,Software for the commercial services industry. ,B2B,B2B -> Sales,SaaS|Proptech|Enterprise,https://www.ycombinator.com/companies/convex,194,False,not_ai,low,"Software for commercial services industry; no AI stated, thin",chunk_00,not_ai,,False,False,not AI
12280,Cosmic,Winter 2019,W19,20190,Cosmic is an AI-powered headless CMS,B2B,"B2B -> Engineering, Product and Design",Developer Tools|API,https://www.ycombinator.com/companies/cosmic,194,False,sells_ai_to_industry,high,AI agents that write content/fix bugs sold to dev/content teams via CMS,chunk_00,sells_ai_to_industry,,False,False,sells AI to the industry
11985,Coursedog,Winter 2019,W19,20190,Higher Ed's Best Friend - integrated academic operations software.,B2B,B2B -> Operations,Education|SaaS,https://www.ycombinator.com/companies/coursedog,194,False,not_ai,medium,Academic operations SaaS for institutions; no AI,chunk_00,not_ai,,False,False,not AI
12248,CredPal,Winter 2019,W19,20190,CredPal is a buy now pay later company in Africa that allows…,Fintech,Fintech -> Credit and Lending,Fintech|Payments,https://www.ycombinator.com/companies/credpal,194,False,not_ai,medium,BNPL fintech; no AI stated,chunk_00,not_ai,,False,False,not AI
12262,Cuanto,Winter 2019,W19,20190,Building the operating system for developing world merchants,Fintech,Fintech -> Payments,Fintech|E-commerce,https://www.ycombinator.com/companies/cuanto,194,False,not_ai,medium,Ecommerce operating-system platform sold to merchants; no AI,chunk_00,not_ai,,False,False,not AI
12093,Dagger,Winter 2019,W19,20190,Develop your CI/CD pipelines as code and run them anywhere,B2B,"B2B -> Engineering, Product and Design",Developer Tools|DevSecOps,https://www.ycombinator.com/companies/dagger,194,False,not_ai,medium,CI/CD pipeline engine; no AI,chunk_00,not_ai,,False,False,not AI
12079,DailyDoctor,Winter 2019,W19,20190,"Daily telehealth care for people with COPD, CHF, hypertension, and…",Healthcare,Healthcare,Digital Health|Healthcare|Telemedicine,https://www.ycombinator.com/companies/dailydoctor,194,False,full_stack_non_ai,high,Runs its own telehealth clinic monitoring chronic patients; no AI,chunk_00,full_stack_non_ai,,False,False,"full-stack startup, not AI-run"
12258,Datamode,Winter 2019,W19,20190,Datamode (datamode.com) is a tool for engineers to instantly diagnose…,B2B,"B2B -> Engineering, Product and Design",Analytics|Data Engineering,https://www.ycombinator.com/companies/datamode,194,False,not_ai,medium,Data pipeline diagnosis tool for engineers; no AI,chunk_00,not_ai,,False,False,not AI
12064,Deel,Winter 2019,W19,20190,The all-in-one HR and payroll platform for global teams,B2B,B2B -> Finance and Accounting,Fintech|SaaS|B2B|HR Tech|Payroll,https://www.ycombinator.com/companies/deel,194,False,sells_ai_to_industry,low,"All-in-one payroll/HR platform businesses use, ""AI-powered tools"" as a feature",chunk_00,sells_ai_to_industry,,False,False,sells AI to the industry
12005,Demodesk,Winter 2019,W19,20190,AI-powered sales coaching,B2B,B2B -> Sales,SaaS|B2B|Sales|Video|AI,https://www.ycombinator.com/companies/demodesk,194,False,sells_ai_to_industry,high,"""AI-powered sales coaching"" software sold to sales teams",chunk_00,sells_ai_to_industry,,False,False,sells AI to the industry
11955,DevFlight,Winter 2019,W19,20190,Managed equipment data pipelines for manufacturers,B2B,"B2B -> Engineering, Product and Design",Data Engineering,https://www.ycombinator.com/companies/devflight,194,False,not_ai,low,Managed equipment data pipelines for manufacturers; no AI,chunk_00,not_ai,,False,False,not AI
12014,Docbot,Winter 2019,W19,20190,,Healthcare,Healthcare -> Healthcare IT,,https://www.ycombinator.com/companies/docbot,194,False,unclear,low,Entirely empty listing,chunk_00,unclear,,False,False,unclear
12266,Dockup,Winter 2019,W19,20190,On demand ephemeral environments to run manual and automated tests.,B2B,"B2B -> Engineering, Product and Design",DevOps,https://www.ycombinator.com/companies/dockup,194,False,not_ai,medium,On-demand test environments for engineering teams; no AI,chunk_00,not_ai,,False,False,not AI
12015,Docucharm,Winter 2019,W19,20190,Automate paperwork by turning documents into structured data.,B2B,B2B -> Operations,Artificial Intelligence|NLP,https://www.ycombinator.com/companies/docucharm,194,False,sells_ai_to_industry,medium,"AI/NLP tool that turns documents into structured data, sold as product",chunk_00,sells_ai_to_industry,,False,False,sells AI to the industry
12038,Doorport,Winter 2019,W19,20190,Acquired by Alarm.com - We make existing apartment access smart.,Real Estate and Construction,Real Estate and Construction -> Housing and Real Estate,Smart Home Assistants|IoT,https://www.ycombinator.com/companies/doorport,194,False,not_ai,medium,Smart-home access IoT hardware; no AI core,chunk_00,not_ai,,False,False,not AI
12070,Doppler,Winter 2019,W19,20190,Secure secrets. Prevent breaches. Keep teams moving.,B2B,"B2B -> Engineering, Product and Design",Developer Tools|DevSecOps|Security,https://www.ycombinator.com/companies/doppler,194,False,not_ai,medium,Secrets management platform; no AI,chunk_00,not_ai,,False,False,not AI
11962,Dyneti Technologies,Winter 2019,W19,20190,Reduce payment fraud,B2B,B2B -> Security,Payments|Security,https://www.ycombinator.com/companies/dyneti-technologies,194,False,unclear,low,"Payment fraud reduction, no description to judge AI or full-stack status",chunk_00,unclear,,False,False,unclear
12358,Eclipse Foods,Winter 2019,W19,20190,"Eclipse Foods is building the future of dairy using micelles, the…",Consumer,Consumer -> Food and Beverage,Consumer|Climate|Food Tech,https://www.ycombinator.com/companies/eclipse-foods,194,False,not_ai,medium,Plant-based dairy manufacturer; no AI,chunk_00,not_ai,,False,False,not AI
12245,Edyst,Winter 2019,W19,20190,Edyst is a peer-to-peer online learning platform where students learn…,Education,Education,Education|Recruiting,https://www.ycombinator.com/companies/edyst,194,False,not_ai,medium,"Peer-to-peer online learning marketplace; doesn't employ instructors, no AI",chunk_00,not_ai,,False,False,not AI
12031,Elph,Winter 2019,W19,20190,Acquired by Brex. Building digital payments infrastructure.,B2B,"B2B -> Engineering, Product and Design",Payments|Infrastructure,https://www.ycombinator.com/companies/elph,194,False,not_ai,low,"Digital payments infrastructure; no AI, thin description",chunk_00,not_ai,,False,False,not AI
12251,Emi Labs,Winter 2019,W19,20190,"Helping great teams hire better frontline workers, faster.",B2B,B2B -> Recruiting and Talent,Recruiting,https://www.ycombinator.com/companies/emi-labs,194,False,sells_ai_to_industry,high,AI-powered SaaS recruitment platform sold to companies like Walmart,chunk_00,sells_ai_to_industry,,False,False,sells AI to the industry
12210,Endpoint Health,Winter 2019,W19,20190,Precision-first therapies,Healthcare,Healthcare -> Therapeutics,,https://www.ycombinator.com/companies/endpoint-health,194,False,not_ai,medium,Develops/commercializes therapeutics itself; no AI stated,chunk_00,not_ai,,False,False,not AI
12013,Evo.Do,Winter 2019,W19,20190,QA Bots for Games,B2B,"B2B -> Engineering, Product and Design",Artificial Intelligence|Gaming,https://www.ycombinator.com/companies/evo-do,194,False,sells_ai_to_industry,medium,AI QA bots sold as testing tool to game studios,chunk_00,sells_ai_to_industry,,False,False,sells AI to the industry
12046,Excepgen,Winter 2019,W19,20190,,Healthcare,Healthcare -> Therapeutics,Biotech,https://www.ycombinator.com/companies/excepgen,194,False,unclear,low,Entirely empty listing besides Biotech tag,chunk_00,unclear,,False,False,unclear
12247,Exly,Winter 2019,W19,20190,"One stop shop for creators to launch, manage & grow their knowledge…",Consumer,Consumer,SaaS|Productivity|Marketing|CRM|Creator Economy,https://www.ycombinator.com/companies/exly,194,False,not_ai,medium,All-in-one SaaS platform for creators; no AI,chunk_00,not_ai,,False,False,not AI
12279,FIRST,Winter 2019,W19,20190,The best way for any business to offer delivery. ,B2B,B2B -> Operations,SaaS|Delivery|Logistics,https://www.ycombinator.com/companies/first,194,False,not_ai,medium,"Marketplace dispatching orders to delivery services, not operating deliveries itself; no AI",chunk_00,not_ai,,False,False,not AI
11974,FLOWER CO.,Winter 2019,W19,20190,FLOWER CO. sells weed on the internet.,Consumer,Consumer -> Home and Personal,E-Commerce|Cannabis,https://www.ycombinator.com/companies/flower-co,194,False,full_stack_non_ai,low,Vertically integrated cannabis delivery retailer; no AI,chunk_00,full_stack_non_ai,,False,False,"full-stack startup, not AI-run"
11924,Flockjay,Winter 2019,W19,20190,"AI-driven learning, content, and coaching for sales teams",B2B,B2B -> Sales,Artificial Intelligence|SaaS|eLearning|Productivity|Sales,https://www.ycombinator.com/companies/flockjay,194,False,sells_ai_to_industry,high,AI-powered learning/coaching platform sold to sales teams,chunk_00,sells_ai_to_industry,,False,False,sells AI to the industry
12002,Forage,Winter 2019,W19,20190,"Online job simulations for companies to train, and then hire, students",B2B,B2B -> Recruiting and Talent,Education|SaaS,https://www.ycombinator.com/companies/forage,194,False,not_ai,medium,Job-simulation platform partnering with employers; no AI,chunk_00,not_ai,,False,False,not AI
12264,Frubana Inc,Winter 2019,W19,20190,The everything store for restaurants in LATAM.,B2B,B2B -> Supply Chain and Logistics,Fintech|B2B|Logistics,https://www.ycombinator.com/companies/frubana-inc,194,False,full_stack_non_ai,low,Operates as the wholesale supplier/distributor to restaurants itself; no AI,chunk_00,full_stack_non_ai,,False,False,"full-stack startup, not AI-run"
12073,Fuse,Winter 2019,W19,20190,Unified API for financial data aggregators.,Fintech,Fintech,Fintech|SaaS|B2B,https://www.ycombinator.com/companies/fuse,194,False,not_ai,medium,Unified banking-data API sold to companies; no AI,chunk_00,not_ai,,False,False,not AI
11921,Fuzzbuzz,Winter 2019,W19,20190,Fuzzing as a Service,B2B,B2B -> Infrastructure,Security|Cybersecurity,https://www.ycombinator.com/companies/fuzzbuzz,194,False,not_ai,medium,Fuzz-testing-as-a-service dev tool; no AI,chunk_00,not_ai,,False,False,not AI
11931,Geosite,Winter 2019,W19,20190,Geosite is an enterprise SaaS platform for spatial data.,B2B,B2B -> Operations,SaaS|Geographic Information System,https://www.ycombinator.com/companies/geosite,194,False,not_ai,medium,Enterprise spatial-data SaaS/marketplace; no AI,chunk_00,not_ai,,False,False,not AI
12256,Glide,Winter 2019,W19,20190,"Glide turns spreadsheets into beautiful, intelligent apps.",B2B,"B2B -> Engineering, Product and Design",Artificial Intelligence|Developer Tools|B2B|No-code|Enterprise Software,https://www.ycombinator.com/companies/glide,194,False,sells_ai_to_industry,medium,"""AI-first"" no-code app builder sold to businesses",chunk_00,sells_ai_to_industry,,False,False,sells AI to the industry
12273,Globe,Winter 2019,W19,20190,coinbase for derivatives,Fintech,Fintech -> Banking and Exchange,DeFi|Fintech,https://www.ycombinator.com/companies/globe,194,False,not_ai,medium,Crypto derivatives exchange; no AI,chunk_00,not_ai,,False,False,not AI
11984,GoLinks,Winter 2019,W19,20190,"Intuitive, easy-to-remember short links - powered by AI.",B2B,B2B -> Productivity,SaaS|Productivity|Collaboration,https://www.ycombinator.com/companies/golinks,194,False,sells_ai_to_industry,medium,"Internal link/search productivity tools ""powered by AI"" sold to companies",chunk_00,sells_ai_to_industry,,False,False,sells AI to the industry
11957,Green Energy Exchange,Winter 2019,W19,20190,We deliver affordable renewable energy direct to customers and are…,Industrials,Industrials -> Energy,Climate|Renewable Energy,https://www.ycombinator.com/companies/green-energy-exchange,194,False,full_stack_non_ai,medium,Licensed retail electric provider delivering energy itself; no AI,chunk_00,full_stack_non_ai,,False,False,"full-stack startup, not AI-run"
12043,Handle,Winter 2019,W19,20190,Simplifying Payments and Compliance for Construction Suppliers,Real Estate and Construction,Real Estate and Construction -> Construction,Payments|Construction,https://www.ycombinator.com/companies/handle,194,False,not_ai,medium,Payments/compliance software for construction suppliers; no AI,chunk_00,not_ai,,False,False,not AI
11975,Hatch,Winter 2019,W19,20190,The AI CSR Platform,B2B,B2B -> Sales,SaaS|B2B|AI,https://www.ycombinator.com/companies/hatch,194,False,sells_ai_to_industry,high,"""Build AI Agents"" for businesses to communicate with their own customers",chunk_00,sells_ai_to_industry,,False,False,sells AI to the industry
12089,Heart Aerospace,Winter 2019,W19,20190,Heart makes electric airplanes with an all-electric range of 250 miles,Industrials,Industrials -> Aviation and Space,Climate|Electric Vehicles|Aerospace,https://www.ycombinator.com/companies/heart-aerospace,194,False,not_ai,medium,Electric airplane manufacturer; no AI,chunk_00,not_ai,,False,False,not AI
11982,Herald,Winter 2019,W19,20190,A collaborative repository for user feedback.,B2B,B2B -> Office Management,Customer Success|Team Collaboration,https://www.ycombinator.com/companies/herald,194,False,not_ai,medium,Feedback repository tool for product teams; no AI,chunk_00,not_ai,,False,False,not AI
12090,Hypnos,Winter 2019,W19,20190,AI-powered sleep coach learns and optimizes your sleep,Consumer,Consumer,Sleep Tech|Consumer|AI,https://www.ycombinator.com/companies/hypnos,194,False,ai_other,high,"AI-powered digital sleep journal, a consumer AI app",chunk_00,ai_other,,False,False,other AI
12274,Inito,Winter 2019,W19,20190,Enabling better self care with at-home hormone tracking.,Healthcare,Healthcare -> Consumer Health and Wellness,Fertility Tech|Health Tech|Digital Health|Women's Health,https://www.ycombinator.com/companies/inito,194,False,not_ai,low,"At-home hormone tracking device; no AI stated, thin description",chunk_00,not_ai,,False,False,not AI
11937,Insight,Winter 2019,W19,20190,The first extensible browser for iOS,Consumer,Consumer,,https://www.ycombinator.com/companies/insight,194,False,not_ai,medium,Extensible iOS browser; no AI,chunk_00,not_ai,,False,False,not AI
12077,Instapath Inc.,Winter 2019,W19,20190,We built the world's first automated digital pathology lab.,Healthcare,Healthcare -> Diagnostics,Medical Devices,https://www.ycombinator.com/companies/instapath-inc,194,False,full_stack_ai,medium,"Operates its own ""automated digital pathology lab"" as the diagnostic service provider",chunk_00,full_stack_ai,,True,True,full-stack AI startup
12056,Intact Therapeutics,Winter 2019,W19,20190,Smart gels for local drug delivery to the gut,Healthcare,Healthcare -> Therapeutics,Drug Delivery|Therapeutics,https://www.ycombinator.com/companies/intact-therapeutics,194,False,not_ai,medium,Smart-gel drug-delivery materials platform; no AI,chunk_00,not_ai,,False,False,not AI
